Origin Time (GMT),Status,cntP,Mag,TypeMag,cntM,AZgap,RMS,Lat,Lon,Depth,Remarks
 2022-02-11 11:11:51 , manual , 29  , 4.5 , MLv     , 10  , 52  , 1.6 , 4.36 S  , 133.06 E , 20 km  ," Irian Jaya Region, Indonesia      "
 2022-02-11 10:58:15 , manual , 31  , 4.0 , MLv     , 9   , 221 , 1.0 , 5.07 S  , 102.84 E , 10 km  ," Southern Sumatra, Indonesia       "
 2022-02-11 10:35:43 , manual , 58  , 4.7 , MLv     , 26  , 57  , 1.0 , 0.20 S  , 123.89 E , 76 km  ," Minahassa Peninsula, Sulawesi     "
 2022-02-11 10:07:43 , manual , 10  , 3.1 , MLv     , 6   , 111 , 0.7 , 0.39 N  , 122.02 E , 141 km ," Minahassa Peninsula, Sulawesi     "
 2022-02-11 08:19:16 , manual , 9   , 2.7 , MLv     , 2   , 182 , 0.3 , 2.63 S  , 121.34 E , 12 km  ," Sulawesi, Indonesia               "
 2022-02-11 07:14:56 , manual , 154 , 5.5 , mb      , 109 , 54  , 2.4 , 3.60 S  , 144.10 E , 28 km  ," Near N. Coast of New Guinea, PNG. "
 2022-02-11 06:24:15 , manual , 15  , 4.8 , mb      , 13  , 133 , 0.7 , 10.62 S , 12.99 W  , 10 km  , Ascension Island Region           
 2022-02-11 06:07:48 , manual , 29  , 4.2 , MLv     , 13  , 171 , 0.5 , 9.68 S  , 107.11 E , 35 km  ," South of Java, Indonesia          "
 2022-02-11 06:07:47 , manual , 35  , 4.0 , MLv     , 12  , 186 , 1.0 , 9.55 S  , 107.14 E , 10 km  ," South of Java, Indonesia          "
 2022-02-11 05:46:26 , manual , 13  , 2.5 , MLv     , 5   , 257 , 0.4 , 7.77 S  , 118.49 E , 14 km  , Flores Sea                        
 2022-02-11 05:42:44 , manual , 14  , 2.7 , MLv     , 6   , 230 , 0.9 , 7.81 S  , 118.55 E , 31 km  , Flores Sea                        
 2022-02-11 04:51:49 , manual , 23  , 2.6 , MLv     , 7   , 137 , 0.6 , 9.33 S  , 119.16 E , 37 km  ," Sumba Region, Indonesia           "
 2022-02-11 03:35:31 , manual , 24  , 3.1 , MLv     , 11  , 95  , 0.6 , 3.50 S  , 119.59 E , 11 km  ," Sulawesi, Indonesia               "
 2022-02-11 02:57:35 , manual , 22  , 3.4 , MLv     , 6   , 94  , 1.0 , 8.37 S  , 119.61 E , 13 km  ," Flores Region, Indonesia          "
 2022-02-11 01:25:54 , manual , 13  , 4.5 , mb      , 10  , 209 , 0.4 , 11.72 N , 144.47 E , 32 km  , South of Mariana Islands          
 2022-02-11 01:05:57 , manual , 13  , 4.7 , mb      , 7   , 194 , 1.7 , 55.46 N , 157.82 W , 57 km  , Alaska Peninsula                  
